Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportParallel,Magic Number,The method contains a magic number: 0.072,121
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportParallel,Magic Number,The method contains a magic number: 0.0000001,121
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportPrioPauseTime,Long Statement,The length of the statement "assertTrue("should be DataReaderJRockit1_4_2 (but was " + reader.toString() + ")"`reader instanceof DataReaderJRockit1_4_2);" is 124.,137
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportPrioPauseTime,Magic Number,The method contains a magic number: 64,137
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportPrioPauseTime,Magic Number,The method contains a magic number: 18.785,137
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportPrioPauseTime,Magic Number,The method contains a magic number: 0.000001,137
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportPrioPauseTime,Magic Number,The method contains a magic number: 32260,137
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportPrioPauseTime,Magic Number,The method contains a magic number: 4028,137
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportPrioPauseTime,Magic Number,The method contains a magic number: 32768,137
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportPrioPauseTime,Magic Number,The method contains a magic number: 0.024491,137
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportPrioPauseTime,Magic Number,The method contains a magic number: 0.0000001,137
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportPrioThroughput,Magic Number,The method contains a magic number: 70,158
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportPrioThroughput,Magic Number,The method contains a magic number: 20.021,158
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportPrioThroughput,Magic Number,The method contains a magic number: 0.000001,158
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportPrioThroughput,Magic Number,The method contains a magic number: 32768,158
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportPrioThroughput,Magic Number,The method contains a magic number: 5561,158
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportPrioThroughput,Magic Number,The method contains a magic number: 32768,158
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportPrioThroughput,Magic Number,The method contains a magic number: 0.061,158
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportPrioThroughput,Magic Number,The method contains a magic number: 0.0000001,158
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportSinglecon,Magic Number,The method contains a magic number: 41,174
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportSinglecon,Magic Number,The method contains a magic number: 18.906,174
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportSinglecon,Magic Number,The method contains a magic number: 0.000001,174
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportSinglecon,Magic Number,The method contains a magic number: 32260,174
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseTsGCReportSinglecon,Magic Number,The method contains a magic number: 3997,174
